ori,agency_name,city,state,year,sworn_officers,civilians,total_employees,population_covered,source_url,retrieved
AZ0071700,Mesa,Mesa,AZ,2021,846,432,1278,513713,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071700,Mesa,Mesa,AZ,2022,834,474,1308,513116,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071700,Mesa,Mesa,AZ,2023,853,506,1359,515848,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071700,Mesa,Mesa,AZ,2024,887,568,1455,513585,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2017,192,96,288,165889,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2018,196,82,278,170177,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2019,201,85,286,174571,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2020,197,100,297,178486,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2021,189,97,286,194566,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2022,216,93,309,197894,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2023,214,100,314,200886,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072100,Peoria,Peoria,AZ,2024,231,103,334,201056,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072300,Phoenix,Phoenix,AZ,2017,2838,978,3816,1644177,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072300,Phoenix,Phoenix,AZ,2018,2919,983,3902,1653080,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072300,Phoenix,Phoenix,AZ,2019,2928,991,3919,1688722,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0072300,Phoenix,Phoenix,AZ,2020,2939,964,3903,1708960,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
