agency_name,city,state,fiscal_year,operating_budget_usd,sworn_officers,source,source_url,retrieved
Providence Police,Providence,RI,1993,22081787,409,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Providence Police,Providence,RI,1997,20841362,468,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Providence Police,Providence,RI,2000,28352400,463,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Columbia Police,Columbia,SC,1997,15215179,288,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Columbia Police,Columbia,SC,2000,18303747,292,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Sioux Falls Police,Sioux Falls,SD,1997,10381142,159,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Sioux Falls Police,Sioux Falls,SD,2000,11917688,170,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Chattanooga Police,Chattanooga,TN,1993,17388783,377,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Chattanooga Police,Chattanooga,TN,1997,19756577,418,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Chattanooga Police,Chattanooga,TN,2000,28434390,432,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Clarksville Police,Clarksville,TN,2000,11000000,207,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Knoxville Police,Knoxville,TN,1993,15972007,331,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Knoxville Police,Knoxville,TN,1997,22249117,395,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Knoxville Police,Knoxville,TN,2000,30269368,401,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Memphis Police,Memphis,TN,1990,70093265,1382,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Memphis Police,Memphis,TN,1997,109873761,1498,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Memphis Police,Memphis,TN,2000,140000000,1904,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Nashville Metropolitan Police,Nashville,TN,1990,64552919,1020,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Nashville Metropolitan Police,Nashville,TN,1993,67731279,1051,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Nashville Metropolitan Police,Nashville,TN,1997,71801906,1279,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Nashville Metropolitan Police,Nashville,TN,2000,101829813,1249,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Abilene Police,Abilene,TX,1993,8272000,158,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Abilene Police,Abilene,TX,1997,9627380,167,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Abilene Police,Abilene,TX,2000,12878860,189,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Amarillo Police,Amarillo,TX,1993,10676475,252,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Amarillo Police,Amarillo,TX,1997,16892768,261,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Amarillo Police,Amarillo,TX,2000,20309953,264,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Arlington Police,Arlington,TX,1990,20195376,356,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Arlington Police,Arlington,TX,1993,24880000,358,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Arlington Police,Arlington,TX,1997,39030000,458,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Arlington Police,Arlington,TX,2000,44900000,485,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Austin Police,Austin,TX,1990,49661110,795,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Austin Police,Austin,TX,1993,62493000,921,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Austin Police,Austin,TX,1997,75503597,976,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Austin Police,Austin,TX,2000,107687988,1144,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Beaumont Police,Beaumont,TX,1993,14427500,239,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Beaumont Police,Beaumont,TX,1997,17208031,262,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Beaumont Police,Beaumont,TX,2000,17980600,258,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Brownsville Police,Brownsville,TX,1997,12189000,180,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Brownsville Police,Brownsville,TX,2000,14500000,217,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Carrollton Police,Carrollton,TX,2000,13697131,143,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Corpus Christi Police,Corpus Christi,TX,1990,21522685,367,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Corpus Christi Police,Corpus Christi,TX,1993,26029000,379,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Corpus Christi Police,Corpus Christi,TX,1997,30783674,394,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Corpus Christi Police,Corpus Christi,TX,2000,38531910,407,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Dallas Police,Dallas,TX,1990,152097263,2635,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Dallas Police,Dallas,TX,1993,146563166,2810,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Dallas Police,Dallas,TX,1997,212314565,2817,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Dallas Police,Dallas,TX,2000,246000000,2862,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
El Paso Police,El Paso,TX,1990,36031498,738,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
El Paso Police,El Paso,TX,1993,46853989,862,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
El Paso Police,El Paso,TX,1997,64441861,1013,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
El Paso Police,El Paso,TX,2000,82040937,1057,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Fort Worth Police,Fort Worth,TX,1990,47732638,950,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Fort Worth Police,Fort Worth,TX,1993,59478994,1060,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Fort Worth Police,Fort Worth,TX,1997,86677000,1200,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Fort Worth Police,Fort Worth,TX,2000,119119884,1196,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Garland Police,Garland,TX,1993,15218750,241,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Garland Police,Garland,TX,1997,21018305,288,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Garland Police,Garland,TX,2000,26570004,280,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Grand Prairie Police,Grand Prairie,TX,1997,13562617,169,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Grand Prairie Police,Grand Prairie,TX,2000,19743560,181,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Houston Police,Houston,TX,1990,223299385,4104,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Houston Police,Houston,TX,1993,305000000,4627,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Houston Police,Houston,TX,1997,376666719,5355,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Houston Police,Houston,TX,2000,425867364,5343,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Irving Police,Irving,TX,1993,13496322,269,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Irving Police,Irving,TX,1997,21764177,278,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Irving Police,Irving,TX,2000,30006271,308,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Laredo Police,Laredo,TX,1993,9410028,218,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Laredo Police,Laredo,TX,1997,8526802,269,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Laredo Police,Laredo,TX,2000,20000000,345,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Lubbock Police,Lubbock,TX,1993,16374548,313,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Lubbock Police,Lubbock,TX,2000,25470534,301,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
McAllen Police,McAllen,TX,1997,11207360,195,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
McAllen Police,McAllen,TX,2000,15697000,232,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Mesquite Police,Mesquite,TX,1993,11309624,164,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Mesquite Police,Mesquite,TX,1997,15621795,193,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Mesquite Police,Mesquite,TX,2000,19519205,200,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Pasadena Police,Pasadena,TX,1993,10044626,205,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Pasadena Police,Pasadena,TX,1997,12830343,230,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Pasadena Police,Pasadena,TX,2000,22000000,250,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Plano Police,Plano,TX,1993,9405219,181,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Plano Police,Plano,TX,1997,18454269,245,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Plano Police,Plano,TX,2000,29852188,292,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
San Antonio Police,San Antonio,TX,1990,88038572,1576,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
San Antonio Police,San Antonio,TX,1993,121644884,1641,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
San Antonio Police,San Antonio,TX,1997,159456679,1867,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
San Antonio Police,San Antonio,TX,2000,197013318,1882,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Waco Police,Waco,TX,1993,10864866,188,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Waco Police,Waco,TX,1997,12690337,224,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Waco Police,Waco,TX,2000,17131873,202,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Wichita Falls Police,Wichita Falls,TX,1997,11112300,174,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Wichita Falls Police,Wichita Falls,TX,2000,13218314,175,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Salt Lake City Police,Salt Lake City,UT,1993,19228762,360,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Salt Lake City Police,Salt Lake City,UT,1997,33490208,394,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Salt Lake City Police,Salt Lake City,UT,2000,39000000,409,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
West Valley City Police,West Valley City,UT,2000,11515340,153,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Alexandria Police,Alexandria,VA,1993,23800000,258,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Alexandria Police,Alexandria,VA,1997,24926000,272,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Alexandria Police,Alexandria,VA,2000,30963524,279,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Chesapeake Police,Chesapeake,VA,1993,12911393,265,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Chesapeake Police,Chesapeake,VA,1997,18343138,295,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Chesapeake Police,Chesapeake,VA,2000,25193785,332,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Hampton Police,Hampton,VA,1993,10155995,208,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Hampton Police,Hampton,VA,1997,10476139,255,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Hampton Police,Hampton,VA,2000,14371910,249,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Newport News Police,Newport News,VA,1993,16690167,307,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Newport News Police,Newport News,VA,1997,22751785,372,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Newport News Police,Newport News,VA,2000,29062251,377,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Norfolk Police,Norfolk,VA,1993,34528579,672,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Norfolk Police,Norfolk,VA,1997,40687615,711,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Norfolk Police,Norfolk,VA,2000,43031178,665,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Portsmouth Police,Portsmouth,VA,1993,8815141,214,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Portsmouth Police,Portsmouth,VA,1997,12488725,246,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Portsmouth Police,Portsmouth,VA,2000,15523464,246,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
