cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",housing,80.978,86.831,80.832,76.373,73.498,73.573,73.36,70.822,71.94,76.045,66.957,69.707,69.071,79.518,75.822,77.878,76.759
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",all,98.096,95.089,98.276,96.499,99.157,98.293,98.512,98.05,98.446,99.425,98.199,98.113,98.745,99.03,98.609,100.481,100.058
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",housing,101.581,101.057,96.476,95.993,95.398,94.022,94.95,95.957,98.269,98.848,98.891,99.561,102.684,105.484,107.271,110.861,111.022
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",all,110.723,106.852,108.791,106.21,104.576,102.003,102.682,103.235,102.621,100.855,100.768,97.447,101.169,95.986,100.16,98.905,98.857
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",housing,132.963,109.722,122.724,114.708,112.713,109.023,113.198,115.678,107.561,96.473,106.168,93.196,106.809,87.111,112.261,99.42,98.673
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",all,89.26,87.279,88.847,91.173,90.363,90.303,90.806,88.109,89.73,88.656,88.424,90.011,88.683,89.125,88.161,87.559,87.933
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",housing,70.649,70.834,68.676,76.925,73.125,66.442,70.495,62.33,68.205,69.036,63.193,67.077,64.444,68.635,58.133,57.339,62.078
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",all,91.059,90.569,92.251,93.659,93.452,93.244,92.492,93.229,93.615,92.406,91.433,90.257,89.678,91.894,91.751,91.244,91.903
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",housing,66.953,69.604,69.198,73.604,71.462,70.927,67.1,70.755,69.963,69.091,69.907,68.636,69.198,67.917,68.966,67.812,70.603
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",all,99.589,98.887,99.762,100.311,100.945,100.777,101.366,101.555,102.567,101.754,99.017,99.36,101.109,99.973,98.81,98.276,98.066
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",housing,109.985,111.665,108.076,110.304,115.21,114.698,117.731,119.173,122.65,124.905,121.903,121.524,124.484,122.493,126.349,126.36,120.361
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",all,96.885,100.271,98.231,100.409,101.061,99.685,99.638,97.679,96.543,98.535,101.729,101.123,100.325,100.889,104.46,102.389,100.886
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",housing,97.155,97.12,96.094,94.877,97.042,95.817,97.752,92.85,90.618,92.132,87.316,89.428,89.121,92.354,93.137,88.017,90.291
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",all,106.365,109.392,106.06,108.803,106.492,106.758,105.693,105.96,106.095,107.648,105.256,103.911,105.363,104.901,102.419,103.184,104.487
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",housing,126.03,127.303,125.811,127.005,126.099,132.897,130.983,123.438,120.765,122.875,122.625,123.463,122.428,120.892,120.536,116.844,118.194
12620,"Bangor, ME (Metropolitan Statistical Area)",all,93.921,92.113,96.506,93.857,96.339,99.549,92.059,92.786,93.366,94.639,93.948,96.621,97.538,96.781,96.597,92.341,96.508
12620,"Bangor, ME (Metropolitan Statistical Area)",housing,63.008,58.426,83.061,74.916,84.137,96.695,67.238,62.219,66.468,66.375,68.012,75.279,80.458,77.453,63.307,56.11,77.688
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",all,102.797,102.69,105.151,99.352,100.934,100.043,104.507,105.716,105.779,105.777,101.087,105.238,101.253,101.36,108.811,106.488,98.351
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",housing,106.77,104.926,127.283,99.254,106.988,97.594,126.787,126.035,123.277,119.277,101.692,124.867,100.369,107.86,125.243,124.209,90.012
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",all,93.149,91.783,93.371,94.633,94.211,94.883,94.735,94.651,95.622,93.921,92.798,92.824,93.119,93.155,92.404,91.233,90.78
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",housing,74.532,78.278,76.359,81.363,79.831,81.756,80.751,80.515,83.711,78.327,78.596,78.768,76.51,75.323,75.694,77.204,74.183
12980,"Battle Creek, MI (Metropolitan Statistical Area)",all,94.623,94.485,92.291,92.614,94.216,93.387,94.101,91.756,91.869,91.027,92.041,91.845,90.709,90.427,89.471,88.247,90.541
