city,state,fiscal_year,view,population,police_usd,fire_usd,total_expenditure_usd,general_expenditure_usd,source_url,retrieved
Bakersfield,CA,2012,fisc,352430,108469497,82203234,1927913465,1787502747,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2017,city_only,374084,83193442,39566915,500803758,469470420,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2017,fisc,374084,136347567,92278666,2240273458,2080504131,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2022,city_only,409542,130013895,53003880,604098690,566266311,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2022,fisc,409542,197552049,53003880,3180622204,2998973286,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2023,city_only,412996,144973986,56753910,605208468,565969718,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2023,fisc,412996,223893392,56753910,3462731922,3265328094,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2012,city_only,217267,66607631,33790038,244059357,244059357,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2012,fisc,217267,81335111,46760895,1336752909,1160137748,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2017,city_only,233889,72597291,44043059,283939247,283389838,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2017,fisc,233889,87322213,60792517,1696739645,1492301054,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2022,city_only,227910,97725279,60950244,368750725,368509936,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2022,fisc,227910,118993508,81901069,2244634349,1848214788,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2023,city_only,227359,110644257,66361545,405240134,405017323,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fremont,CA,2023,fisc,227359,133091411,88001575,2465299109,1992462870,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2012,city_only,501623,147485706,55059566,694668257,528665574,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2012,fisc,501623,191338324,55074685,2786255201,2599214448,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2017,city_only,520305,137803665,53438004,724470654,441781230,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2017,fisc,520305,234600663,53438004,3547807108,3253301636,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2022,city_only,543931,226758728,80500524,1070815261,873066813,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2022,fisc,543931,382937789,80500524,5055996065,4843468204,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2023,city_only,545874,221930533,79375538,1298339474,1048711294,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Fresno,CA,2023,fisc,545874,308648077,79375538,5512726939,5244080508,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2012,city_only,192599,70807453,33713757,282772671,244967868,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2012,fisc,192599,85051374,33713757,877358776,732867513,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2017,city_only,200580,83993388,40449269,307706827,265179264,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2017,fisc,200580,103514501,40875255,1019633650,853245933,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2022,city_only,196404,97760114,48210390,406603147,359913186,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2022,fisc,196404,150852473,48663122,1319435192,1156017497,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2023,city_only,194777,111151443,52176863,450090692,399312328,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Huntington Beach,CA,2023,fisc,194777,168187992,52677440,1449561598,1274638218,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2012,city_only,464274,201429793,62189642,1954319223,1760550752,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2012,fisc,464274,270745514,101255387,3896429307,3483200700,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2017,city_only,468484,236742005,70875243,1856553739,1654917705,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2017,fisc,468484,330896860,118923125,4296382916,3780967716,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2022,city_only,455157,267839959,94938310,2369099256,2024078477,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2022,fisc,455157,373720415,161434909,5436406242,4789407582,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2023,city_only,454168,271410797,93885609,2320757605,1940727989,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Long Beach,CA,2023,fisc,454168,387936681,163818398,5914175696,4985175052,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2012,city_only,3818812,1699731200,445924063,13570571033,8676542210,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2012,fisc,3818812,2269905125,767252966,31846580432,24487495358,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2017,city_only,3957520,1769604775,486176499,14533910722,9276990031,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2017,fisc,3957520,2565010030,892061129,36232581366,27665356175,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2022,city_only,3830987,2972023880,810230845,20553407703,13740219944,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2022,fisc,3830987,3863204219,1369923006,47726349898,37632683892,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2023,city_only,3832998,3115194090,810104550,23045605860,15706445770,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Los Angeles,CA,2023,fisc,3832998,4098626900,1400309890,54402535600,41420164600,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2012,city_only,204119,47439418,24084225,279065713,204759749,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2012,fisc,204119,62001615,24822486,1339254570,891365498,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2017,city_only,211423,54328948,31362922,311295707,214104666,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2017,fisc,211423,76439468,31847652,1489141798,1069734154,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2022,city_only,218657,70015855,53034295,351561957,312144830,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2022,fisc,218657,105873280,53511022,1794318245,1427591332,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2023,city_only,218578,68668464,61085994,371700632,312994953,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Modesto,CA,2023,fisc,218578,108886816,61542822,2045096642,1586445681,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Oakland,CA,2012,city_only,395416,195194219,105324373,1312389355,1312389355,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Oakland,CA,2012,fisc,395416,221997558,137231550,4131039398,3692729116,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Oakland,CA,2017,city_only,421454,277339775,140709226,1349956891,1349956891,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Oakland,CA,2017,fisc,421454,303873205,175671240,4726856248,4243958677,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Oakland,CA,2022,city_only,436836,321516566,181587569,1754795468,1754795468,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
